InstrumentID,Ticker,Direction,Invested,NetProfit,Value,Username
6233,XTIA,Buy,89.156953,9.857099,91.878147,tomshan1
9058,NSTGQ,Buy,10.843047,-20.15,8.121853,tomshan1
1071,ENVX,Buy,3.174039,-26.099411,2.045326,jodyslaney
1111,TSLA,Buy,5.587381,119.803636,10.708917,jodyslaney
1484,PYPL,Buy,9.899823,31.800924,11.377538,jodyslaney
3020,TLT,Buy,3.555301,-2.190188,3.032224,jodyslaney
3226,SOXL,Buy,1.42209,3.896846,1.288344,jodyslaney
5634,ENPH,Buy,1.777803,-18.668571,1.260795,jodyslaney
7996,U,Buy,2.996868,5.905085,2.767495,jodyslaney
6515,RDFN,Buy,5.840642,-17.547354,4.19921,jodyslaney
6205,CLSK,Buy,16.025117,-2.157913,13.671913,jodyslaney
3239,TMF,Buy,5.840642,-14.397405,4.359633,jodyslaney
6244,MARA,Buy,4.06355,22.82875,4.352192,jodyslaney
4148,SHOP,Buy,3.301634,62.603077,4.681231,jodyslaney
6473,MSTR,Buy,3.301482,-0.443097,2.866043,jodyslaney
5626,CSIQ,Buy,1.523831,-25.586667,0.988758,jodyslaney
3241,TNA,Buy,0.766995,-3.980132,0.642179,jodyslaney
9593,BITF,Buy,4.991004,-9.700893,3.92983,jodyslaney
100063,SOL,Buy,3.123498,-4.127299,2.611191,jodyslaney
8634,UWMC,Buy,3.5552,-21.095268,2.446073,jodyslaney
9979,LEU,Buy,2.283258,-10.45583,1.782767,jodyslaney
9230,ARKG,Buy,4.738099,-8.155017,3.794565,jodyslaney
9255,SOFI,Buy,6.095325,92.439167,10.228047,jodyslaney
10736,IREN,Buy,3.554133,56.696346,4.856182,jodyslaney
8974,ABCL,Buy,2.538703,-6.420568,2.071546,jodyslaney
1021,INTC,Buy,18.591162,-18.7525,17.518685,marau2021
1832,AMD,Buy,9.294884,-29.682226,2.189364,marau2021
3226,SOXL,Buy,53.315966,-5.230903,58.601535,marau2021
6073,SPWRQ,Buy,2.507018,-99.925844,0.002156,marau2021
6515,RDFN,Buy,9.295581,-26.385,7.936478,marau2021
9483,OPRA,Buy,2.323895,-3.37,2.604435,marau2021
8988,VSAT,Buy,12.446921,-9.451538,10.670954,financialfemme
6318,CDLX,Buy,27.287481,-13.05614,22.462733,financialfemme
1540,QRTEA,Buy,5.744733,-39.876667,3.270191,financialfemme
6703,COUR,Buy,11.489466,22.431667,13.318454,financialfemme
8627,OLPX,Buy,8.042626,40.4,10.691169,financialfemme
6556,UPWK,Buy,10.53201,64.772727,16.430729,financialfemme
1001,AAPL,Buy,8.67494,37.444733,10.413997,gr33ntrader
1002,GOOG,Buy,2.147463,25.590034,2.355611,gr33ntrader
1003,META,Buy,4.351168,34.503704,5.111672,gr33ntrader
1004,MSFT,Buy,6.873234,13.172333,6.79398,gr33ntrader
1005,AMZN,Buy,3.448704,26.39486,3.807221,gr33ntrader
1124,EA,Buy,0.209501,39.846154,0.255893,gr33ntrader
1127,NFLX,Buy,2.246089,65.6287,3.249267,gr33ntrader
8015,CNDX.L,Buy,9.873204,20.22427,10.367477,gr33ntrader
4238,VOO,Buy,1.812342,5.588654,1.6714,gr33ntrader
9267,OTLY,Buy,1.446199,4.25117,1.316837,gr33ntrader
1137,NVDA,Buy,11.383543,12.116086,11.147262,gr33ntrader
1156,SPOT,Buy,1.02188,82.550071,1.629314,gr33ntrader
1187,BYND,Buy,0.402886,-44.36,0.195791,gr33ntrader
6538,SONO,Buy,1.30535,-16.407407,0.953055,gr33ntrader
1126,ADBE,Buy,1.833131,-7.912088,1.474412,gr33ntrader
1969,SEDG,Buy,3.061933,-78.165789,0.583924,gr33ntrader
1111,TSLA,Buy,3.039452,138.058376,6.319775,gr33ntrader
4407,BIL,Buy,0.805611,-0.180036,0.702369,gr33ntrader
1979,SNAP,Buy,0.261876,28.246154,0.293334,gr33ntrader
4431,XBI,Buy,0.725195,-9.966667,0.57027,gr33ntrader
1388,TTWO,Buy,0.56404,30.614286,0.643463,gr33ntrader
1969,SEDG,Buy,2.833056,15.390476,2.459349,JustinC2
8015,CNDX.L,Buy,1.079259,0.125,0.812949,JustinC2
1141,BIDU,Buy,4.047223,-15.554667,2.571152,JustinC2
4380,STNE,Buy,1.618889,-8.131667,1.118866,JustinC2
3049,UMG.NV,Buy,3.102871,4.813043,2.446663,JustinC2
1003,META,Buy,3.777408,10.707857,3.146063,JustinC2
6255,NNDM,Buy,2.02604,-7.581569,1.408645,JustinC2
7996,U,Buy,1.486356,15.925428,1.296273,JustinC2
1053,NBIS,Buy,1.349074,27.008,1.289027,JustinC2
9295,9866.HK,Buy,1.63238,-42.266116,0.709001,JustinC2
6168,COIN,Buy,2.761906,147.849321,5.149815,JustinC2
1004,MSFT,Buy,2.967964,18.102727,2.637021,JustinC2
5503,FVRR,Buy,0.809714,20.036654,0.731208,JustinC2
2402,9988.HK,Buy,2.587336,6.080736,2.06483,JustinC2
4261,DELL,Buy,0.809445,-13.523333,0.5266,JustinC2
1126,ADBE,Buy,1.618889,-13.973333,1.04772,JustinC2
1037,C,Buy,0.809445,7.336667,0.653627,JustinC2
5609,DOYU,Buy,1.033229,14.143208,0.887241,JustinC2
100063,SOL,Buy,1.386687,37.642526,1.435906,JustinC2
1457,PARA,Buy,1.349074,-2.93,0.985181,JustinC2
3166,ARKK,Buy,1.349074,60.936,1.633368,JustinC2
100017,ADA,Buy,1.734154,99.814849,2.606817,JustinC2
5506,CRWD,Buy,2.819457,60.344894,3.401071,JustinC2
9255,SOFI,Buy,1.349074,86.66,1.894446,JustinC2
1555,FCX,Buy,1.888704,-10.175714,1.2763,JustinC2
2373,00981.HK,Buy,1.323388,-7.360137,0.922317,JustinC2
1886,Z,Buy,3.237778,38.205833,3.366422,JustinC2
5626,CSIQ,Buy,1.349074,-10.788,0.905429,JustinC2
4398,DOCU,Buy,1.805925,72.15084,2.338858,JustinC2
100001,ETH,Buy,3.092348,45.317163,3.380651,JustinC2
100000,BTC,Buy,1.862154,292.807465,5.502885,JustinC2
1341,GEV,Buy,0.39563,133.11055,0.693818,JustinC2
4483,PDD,Buy,3.237778,-25.7875,1.80767,JustinC2
9577,SSYS.US,Buy,1.482822,28.649672,1.435134,JustinC2
4299,ALGN,Buy,0.944352,9.814286,0.780167,JustinC2
3006,QQQ,Buy,1.349047,1.538031,1.030507,JustinC2
4407,BIL,Buy,0.809418,-0.29001,0.607164,JustinC2
1002,GOOG,Buy,1.618889,28.223333,1.561634,JustinC2
9287,RIVN,Buy,3.102871,25.825217,2.937152,JustinC2
1111,TSLA,Buy,0.909141,110.841371,1.442056,JustinC2
100061,HBAR,Buy,0.74191,-12.535913,0.488175,JustinC2
6515,RDFN,Buy,1.888704,-0.114286,1.419261,JustinC2
10937,DOUG,Buy,0.807286,-0.26738,0.605703,JustinC2
6473,MSTR,Buy,0.239838,580.81899,1.228416,JustinC2
1010,BA,Buy,0.809445,6.986667,0.651496,JustinC2
1021,INTC,Buy,1.079259,-10.1625,0.729421,JustinC2
