Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
BRK.B,Berkshire Hathaway Inc,Long,6.8,8.21,5.24,Finfre
MMM,3M,Long,5.1,17.69,4.27,Finfre
NKE,NIKE,Long,5.1,-26.95,2.65,Finfre
BA,Boeing,Long,5.1,-4.05,3.48,Finfre
AMZN,Amazon.com Inc,Long,3.61,82.65,4.68,Finfre
AAL,American Airlines Group Inc,Long,3.44,32.5,3.24,Finfre
SMSN.L,Samsung Electronics Co Ltd - GDR,Long,3.4,-15.43,2.05,Finfre
T,AT&T Inc,Long,3.4,13.69,2.75,Finfre
INTC,Intel,Long,3.4,-12.58,2.12,Finfre
MSFT,Microsoft,Long,3.4,51.16,3.66,Finfre
META,Meta Platforms Inc,Long,3.4,317.93,10.11,Finfre
TSLA,"Tesla Motors, Inc.",Long,3.4,133.64,5.65,Finfre
D,Dominion Energy Inc,Long,3.4,7.79,2.61,Finfre
NVDA,NVIDIA Corporation,Long,3.4,192.71,7.08,Finfre
DAL,Delta Air Lines Inc (DE),Long,2.08,58.54,2.34,Finfre
VOW3.DE,Volkswagen AG,Long,1.8,-11.77,1.13,Finfre
WMT,Walmart Inc.,Long,1.77,105.08,2.58,Finfre
PFE,Pfizer,Long,1.75,-5.01,1.18,Finfre
BABA,Alibaba-ADR,Long,1.74,14.43,1.41,Finfre
DPZ,Domino's Pizza Inc,Long,1.7,-3.74,1.17,Finfre
MCD,McDonald's,Long,1.7,28.6,1.56,Finfre
CAT,Caterpillar,Long,1.7,76.58,2.14,Finfre
AAPL,Apple,Long,1.7,106.62,2.5,Finfre
KO,Coca-Cola,Long,1.7,17.32,1.42,Finfre
TGT,Target Corp,Long,1.7,-20.08,0.97,Finfre
VZ,Verizon,Long,1.7,-0.72,1.2,Finfre
O,Realty Income Corp,Long,1.7,2.58,1.24,Finfre
NFLX,"Netflix, Inc.",Long,1.7,78.42,2.16,Finfre
GOOG,Alphabet,Long,1.7,43.28,1.73,Finfre
HPQ,Hewlett Packard,Long,1.7,5.42,1.28,Finfre
PEP,PepsiCo,Long,1.7,0.82,1.22,Finfre
JPM,JPMorgan Chase & Co,Long,1.7,69.22,2.05,Finfre
MA,Mastercard,Long,1.7,28.26,1.55,Finfre
JNJ,Johnson & Johnson,Long,1.7,-9.02,1.1,Finfre
ADSK,"Autodesk, Inc.",Long,1.7,66.16,2.01,Finfre
SBUX,Starbucks Corporation,Long,1.7,18.74,1.44,Finfre
SWK,Stanley Black & Decker Inc,Long,1.7,6.32,1.29,Finfre
PYPL,PayPal Holdings,Long,1.7,36.82,1.66,Finfre
DIS,Walt Disney,Long,1.7,27.21,1.54,Finfre
WBD,Warner Bros Discovery Inc,Long,0.37,-52.65,0.12,Finfre
SOLV,Solventum Corporation,Long,0.0,0.0,0.36,Finfre
