Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
SUI,Sui,Long,8.47,126.71,16.46,airwalk86
RKLB,Rocket Lab USA Inc.,Long,8.47,134.76,17.04,airwalk86
AMZN,Amazon.com Inc,Long,6.16,34.31,7.09,airwalk86
SOL,Solana,Long,5.0,22.64,5.26,airwalk86
CELH,Celsius Holdings Inc.,Long,4.62,-53.04,1.86,airwalk86
MSTR,MicroStrategy Incorporated,Long,4.62,40.75,5.57,airwalk86
CCJ,Cameco Corp,Long,3.5,3.45,3.11,airwalk86
SMLR,Semler Scientific Inc,Long,3.46,10.08,3.27,airwalk86
BROS,Dutch Bros Inc.,Long,3.08,38.51,3.66,airwalk86
MC.PA,LVMH Moet Hennessy Louis Vuitton SA,Long,3.08,-19.86,2.12,airwalk86
DGE.L,Diageo,Long,2.85,-29.02,1.73,airwalk86
PSN.L,Persimmon,Long,2.85,-18.89,1.98,airwalk86
BCH,Bitcoin Cash,Long,2.85,-15.5,2.06,airwalk86
MUV2.DE,Muenchener Rueckvrschrng Gslchft AG Mnch,Long,2.77,11.17,2.64,airwalk86
BNS,The Bank of Nova Scotia,Long,2.77,-23.8,1.81,airwalk86
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Long,2.46,-30.23,1.47,airwalk86
IIPR,Innovative Industrial Properties Inc. A,Long,2.31,-54.6,0.9,airwalk86
PRU.ASX,Perseus Mining Limited,Long,2.31,-0.99,1.96,airwalk86
ZPRR.DE,SPDR Russell 2000 US Small Cap UCITS ETF,Long,2.31,-2.49,1.93,airwalk86
BBOX.L,Tritax Big Box REIT Plc,Long,2.12,-32.34,1.23,airwalk86
JNJ,Johnson & Johnson,Long,1.96,-17.18,1.39,airwalk86
AMD,Advanced Micro Devices Inc,Long,1.92,-1.64,1.62,airwalk86
BRBY.L,Burberry Group,Long,1.92,-36.86,1.04,airwalk86
ACLS,Axcelis Technologies Inc.,Long,1.92,-55.0,0.74,airwalk86
TLT,iShares 20+ Year Treasury Bond ETF,Long,1.85,-14.96,1.35,airwalk86
SAOC,Aramco Saudi Arabian Oil Corp,Long,1.81,-32.84,1.04,airwalk86
VNQ,Vanguard Real Estate ETF,Long,1.81,-8.8,1.41,airwalk86
MELI,MercadoLibre,Long,1.54,-5.97,1.24,airwalk86
SOFI,SoFi Technologies Inc,Long,1.54,5.64,1.39,airwalk86
KWEB,KraneShares CSI China Internet,Long,1.54,-10.64,1.18,airwalk86
HIMS,Hims & Hers Health Inc,Long,1.54,-3.22,1.28,airwalk86
VALE,Vale SA-ADR,Long,1.39,-41.62,0.69,airwalk86
SEI,Sei,Long,0.85,-12.67,0.63,airwalk86
LNC,Lincoln National Corp,Long,0.77,-14.93,0.56,airwalk86
SILVER,Silver (Non Expiry),Long,0.46,-25.83,0.29,airwalk86
