Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
HNT,Helium,Long,16.74,32.29,10.27,el_crypto
FET,Fetch.ai,Long,15.81,365.83,34.17,el_crypto
JASMY,Jasmy,Long,13.97,64.31,10.65,el_crypto
ZRX,0x,Long,8.83,-13.56,3.54,el_crypto
COTI,COTI,Long,6.63,56.22,4.8,el_crypto
RENDER,Render Token,Long,6.32,10.36,3.24,el_crypto
ENS,Ethereum Name Service,Long,5.16,185.89,6.85,el_crypto
FTM,Fantom,Long,5.04,379.54,11.22,el_crypto
AVAX,Avalanche,Long,5.0,157.57,5.97,el_crypto
LPT,Livepeer,Long,4.91,71.97,3.92,el_crypto
