Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
9988.HK,Alibaba Group Holding Ltd (Hong Kong),Long,4.03,-26.01,2.33,haxorjimduggen
SXRL.DE,iShares USD Treasury Bond 3-7yr UCITS ETF,Long,3.66,0.47,2.87,haxorjimduggen
TMV.DE,TeamViewer AG,Long,3.66,-29.26,2.02,haxorjimduggen
0700.HK,Tencent,Long,3.3,6.11,2.73,haxorjimduggen
VLY,Valley National Bancorp,Long,3.3,11.22,2.86,haxorjimduggen
IUSU.DE,iShares USD Treasury Bond 1-3yr UCITS ETF,Long,2.93,1.1,2.31,haxorjimduggen
IBCC.DE,iShares Treasury Bond 0-1yr UCITS ETF,Long,2.93,-1.2,2.26,haxorjimduggen
ICLN,iShares Global clean energy ETF,Long,2.56,-36.22,1.28,haxorjimduggen
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,Long,2.56,-17.93,1.64,haxorjimduggen
TLH,iShares 10-20 Year Treasury Bond ETF,Long,2.56,-8.38,1.83,haxorjimduggen
IB01.L,iShares $ Treasury Bond 0-1yr UCITS ETF,Long,2.56,0.55,2.01,haxorjimduggen
EZJ.L,easyJet,Long,2.2,9.5,1.88,haxorjimduggen
IUSC.DE,iShares MSCI EM Latin America UCITS ETF,Long,2.2,-17.1,1.42,haxorjimduggen
IAG.L,International Consolidated Airlines,Long,2.2,90.99,3.28,haxorjimduggen
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Long,2.2,-8.92,1.56,haxorjimduggen
IS3L.DE,iShares Ultrashort Bond UCITS ETF,Long,2.2,-1.55,1.69,haxorjimduggen
IS0R.DE,iShares USD High Yield Corp Bond UCITS ETF,Long,1.83,1.29,1.45,haxorjimduggen
SXR7.DE,iShares Core MSCI EMU UCITS ETF EUR,Long,1.83,-2.47,1.39,haxorjimduggen
IUSM.DE,iShares USD Treasury Bond 7-10yr UCITS ETF,Long,1.83,-3.39,1.38,haxorjimduggen
IEF,iShares 7-10 Year Treasury Bond ETF,Long,1.83,-7.3,1.33,haxorjimduggen
MAERSKB.CO,A P Moller Maersk,Long,1.46,8.96,1.25,haxorjimduggen
RTX,Raytheon-Technologies,Long,1.46,35.4,1.55,haxorjimduggen
MTB,M&T Bank Corporation,Long,1.46,48.42,1.7,haxorjimduggen
TW.L,Taylor Wimpey,Long,1.46,-11.34,1.01,haxorjimduggen
AMZN,Amazon.com Inc,Long,1.46,124.56,2.57,haxorjimduggen
SW,Smurfit Westrock Plc,Long,1.46,23.1,1.41,haxorjimduggen
MONY.L,Moneysupermarket.com Group PLC,Long,1.46,-9.46,1.04,haxorjimduggen
FDX,FedEx Corporation,Long,1.46,39.91,1.6,haxorjimduggen
GRG.L,Greggs PLC,Long,1.46,7.0,1.22,haxorjimduggen
