Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
TLH,iShares 10-20 Year Treasury Bond ETF,Long,4.37,-4.78,3.81,moberfel
TLT,iShares 20+ Year Treasury Bond ETF,Long,4.24,-6.73,3.62,moberfel
IEF,iShares 7-10 Year Treasury Bond ETF,Long,3.57,-2.61,3.18,moberfel
RWE.DE,RWE AG,Long,2.9,-8.95,2.41,moberfel
XLI,Industrial Select Sector SPDR,Long,2.9,7.58,2.85,moberfel
IPAC,iShares Core MSCI Pacific ETF,Long,2.81,0.55,2.58,moberfel
BND,Vanguard Total Bond Market ETF,Long,2.68,-0.81,2.43,moberfel
IEI,iShares 3-7 Year Treasury Bond ETF,Long,2.45,-0.92,2.22,moberfel
VOO,Vanguard S&P 500 ETF,Long,2.23,13.45,2.31,moberfel
EZU,iShares MSCI Eurozone ETF,Long,2.23,-2.59,1.99,moberfel
XLY,Consumer Discret Select Sector SPDR,Long,2.19,26.27,2.52,moberfel
CVE,Cenovus Energy Inc,Long,2.05,-7.31,1.74,moberfel
BTC,Bitcoin,Long,2.02,143.0,4.48,moberfel
CROX,Crocs Inc,Long,1.92,3.91,1.83,moberfel
BRK.B,Berkshire Hathaway Inc,Long,1.87,7.07,1.83,moberfel
ASO,Academy Sports and Outdoors Inc.,Long,1.85,6.5,1.8,moberfel
CIVI,Civitas Resources Inc.,Long,1.79,-24.18,1.24,moberfel
TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Long,1.78,-21.58,1.28,moberfel
XLP,Consumer Staples Select Sector SPDR,Long,1.78,4.43,1.7,moberfel
XLV,The Health Care Select Sector SPDR Fund,Long,1.78,-6.48,1.53,moberfel
XLB,Materials Select Sector SPDR,Long,1.78,-2.82,1.59,moberfel
XLU,Utilities Select Sector SPDR,Long,1.78,6.13,1.73,moberfel
AMAT,Applied Materials Inc,Long,1.66,-5.85,1.43,moberfel
9988.HK,Alibaba Group Holding Ltd (Hong Kong),Long,1.56,3.53,1.48,moberfel
SCHD,Schwab US Dividend Equity ETF,Long,1.56,4.15,1.49,moberfel
TX,Ternium SA-ADR,Long,1.54,-17.43,1.16,moberfel
TQQQ,ProShares UltraPro QQQ,Long,1.52,37.74,1.91,moberfel
PYPL,PayPal Holdings,Long,1.44,44.34,1.9,moberfel
PRU.L,Prudential,Long,1.37,-15.1,1.06,moberfel
GTT.PA,Gaztransport et Technigaz SA,Long,1.34,-0.67,1.22,moberfel
SHY,iShares 1-3 Year Treasury Bond ETF,Long,1.34,0.29,1.23,moberfel
NVDA,NVIDIA Corporation,Long,1.34,95.91,2.4,moberfel
QQQ,Invesco QQQ,Long,1.34,22.01,1.49,moberfel
VUG,Vanguard Growth ETF,Long,1.34,16.44,1.43,moberfel
IBB,Ishares Nasdaq Biotechnology,Long,1.34,-2.81,1.19,moberfel
FTEC,Fidelity MSCI Information Technology Index ETF,Long,1.34,15.71,1.42,moberfel
0700.HK,Tencent,Long,1.34,15.76,1.42,moberfel
GOOG,Alphabet,Long,1.22,34.44,1.5,moberfel
ETH,Ethereum,Long,1.21,74.51,1.93,moberfel
3988.HK,Bank of China,Long,1.18,11.98,1.2,moberfel
IVZ.US,Invesco Ltd,Long,1.16,15.61,1.23,moberfel
IYR,iShares U.S. Real Estate ETF,Long,1.12,10.98,1.13,moberfel
SCHW,Charles Schwab Corp,Long,0.95,21.26,1.06,moberfel
MSFT,Microsoft,Long,0.82,20.49,0.9,moberfel
BEZ.L,Beazley PLC,Long,0.8,41.39,1.04,moberfel
GLD,SPDR Gold,Long,0.69,19.67,0.75,moberfel
BATS.L,British American Tobacco,Long,0.54,29.75,0.64,moberfel
DAC,Danaos Corp,Long,0.53,-1.17,0.48,moberfel
SOL,Solana,Long,0.52,163.58,1.24,moberfel
UPRO,ProShares UltraPro S&P 500,Long,0.45,25.76,0.51,moberfel
UDOW,ProShares UltraPro Dow30,Long,0.45,28.76,0.53,moberfel
META,Meta Platforms Inc,Long,0.17,86.35,0.28,moberfel
PAGP,Plains GP Holdings LP,Long,0.08,18.4,0.09,moberfel
