Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
AGNC,AGNC Investment Corp,Long,23.46,-7.99,25.43,renoi974
ARR,ARMOUR Residential REIT Inc,Long,23.46,-39.02,16.86,renoi974
TQQQ,ProShares UltraPro QQQ,Long,3.77,-0.29,4.42,renoi974
SPXL,Direxion Daily S&P 500 Bull 3X,Long,3.77,-1.21,4.38,renoi974
SOXL,Direxion Daily Semiconductors Bull 3x Shares,Long,3.77,-40.8,2.63,renoi974
UDOW,ProShares UltraPro Dow30,Long,3.77,-8.56,4.06,renoi974
UPRO,ProShares UltraPro S&P 500,Long,3.77,-0.76,4.4,renoi974
SSO,Proshares Ultra S&P 500,Long,3.77,-0.39,4.42,renoi974
SVXY,ProShares Short VIX Short-Term Futures ETF,Long,3.77,-13.01,3.86,renoi974
QYLD,Global X Nasdaq 100 Covered Call ETF,Long,3.52,-1.05,4.1,renoi974
SDIV,Global X SuperDividend ETF,Long,3.52,-18.9,3.36,renoi974
SCM,Stellus Capital Investment Corporation,Long,1.53,-5.46,1.7,renoi974
ORC,Orchid Island Ca,Long,1.53,-3.09,1.74,renoi974
IVV,iShares Core S&P 500 ETF,Long,1.17,-0.39,1.38,renoi974
VOOG,Vanguard S&P 500 Growth ETF,Long,1.17,-0.22,1.38,renoi974
SOXX,iShares Semiconductor ETF,Long,1.17,-13.87,1.19,renoi974
DIA.US,SPDR Dow Jones Industrial Average ETF Trust,Long,1.17,-2.85,1.34,renoi974
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Long,0.74,-59.8,0.35,renoi974
SDOW,ProShares UltraPro Short Dow30,Long,0.74,-37.54,0.54,renoi974
SPXU,ProShares UltraPro Short S&P 500,Long,0.74,-46.11,0.47,renoi974
SQQQ,ProShares UltraPro Short QQQ,Long,0.74,-56.24,0.38,renoi974
POL,Polygon Ecosystem (ex Matic),Long,0.35,-31.44,0.29,renoi974
FIL,Filecoin,Long,0.35,-26.47,0.31,renoi974
HBAR,Hedera Hashgraph,Long,0.35,25.52,0.52,renoi974
RENDER,Render Token,Long,0.35,-5.89,0.39,renoi974
SHIBxM,Shiba (in millions),Long,0.35,-9.67,0.38,renoi974
FET,Fetch.ai,Long,0.35,-26.79,0.3,renoi974
DOGE,Dogecoin,Long,0.35,44.24,0.6,renoi974
ADA,Cardano,Long,0.35,4.24,0.43,renoi974
SUI,Sui,Long,0.35,20.31,0.5,renoi974
GRT,The Graph,Long,0.35,-8.7,0.38,renoi974
ZEC,ZCASH,Long,0.35,-11.83,0.37,renoi974
GALA,Gala V2,Long,0.35,-27.92,0.3,renoi974
MANA,Decentraland,Long,0.35,-15.61,0.35,renoi974
BNB,Build and Build,Long,0.35,5.78,0.44,renoi974
SOL,Solana,Long,0.35,126.91,0.94,renoi974
XRP,XRP,Long,0.35,132.54,0.97,renoi974
BTC,Bitcoin,Long,0.35,91.49,0.8,renoi974
TRX,TRON,Long,0.35,-4.26,0.4,renoi974
JTO,Jito,Long,0.35,-8.25,0.38,renoi974
ETH,Ethereum,Long,0.35,9.08,0.45,renoi974
NVDA,NVIDIA Corporation,Long,0.35,-6.26,0.39,renoi974
AAPL,Apple,Long,0.23,0.18,0.28,renoi974
TSLA,"Tesla Motors, Inc.",Long,0.23,0.64,0.28,renoi974
VONG,Vanguard Russell 1000 Growth ETF,Long,0.22,-0.21,0.26,renoi974
QQQ,Invesco QQQ,Long,0.22,-0.09,0.26,renoi974
SPY,SPDR S&P 500 ETF,Long,0.22,-0.33,0.26,renoi974
IUSN.DE,iShares MSCI World Small Cap UCITS ETF,Long,0.15,-1.79,0.18,renoi974
SWDA.L,iShares Core MSCI World UCITS ETF,Long,0.15,0.28,0.18,renoi974
MNODL.L,MMC Norilsk Nickel OJSC-ADR,Long,0.12,-98.93,0.01,renoi974
