InstrumentID,Ticker,PriceSource
1,EURUSD,eToro
2,GBPUSD,eToro
3,NZDUSD,eToro
4,USDCAD,eToro
5,USDJPY,eToro
6,USDCHF,eToro
7,AUDUSD,eToro
8,EURGBP,eToro
9,EURCHF,eToro
10,EURJPY,eToro
11,GBPJPY,eToro
12,EURAUD,eToro
13,EURCAD,eToro
14,AUDJPY,eToro
15,CADJPY,eToro
16,CHFJPY,eToro
17,OIL,eToro
18,GOLD,eToro
19,SILVER,eToro
21,COPPER.FUT,eToro
22,NATGAS,eToro
25,USDOLLAR,eToro
26,China50.FUTURE,eToro
27,SPX500,eToro
28,NSDQ100,eToro
29,DJ30,eToro
30,UK100,eToro
31,FRA40,eToro
32,GER40,eToro
33,AUS200,eToro
34,ESP35,eToro
35,ITA40,eToro
36,JPN225,eToro
37,SUI30,eToro
38,HKG50,eToro
39,USDHKD,eToro
40,PLATINUM,eToro
41,PALLADIUM.spot,eToro
42,USDZAR,eToro
43,EUSTX50,eToro
44,USDRUB,eToro
45,USDCNH,eToro
46,AUDCHF,eToro
47,AUDCAD,eToro
48,AUDNZD,eToro
49,EURNZD,eToro
50,GBPAUD,eToro
51,GBPCHF,eToro
52,GBPNZD,eToro
53,NZDCAD,eToro
54,NZDCHF,eToro
55,NZDJPY,eToro
56,CADCHF,eToro
57,USDNOK,eToro
58,USDSEK,eToro
59,NOKSEK,eToro
60,EURNOK,eToro
61,EURSEK,eToro
62,USDTRY,eToro
63,USDMXN,eToro
64,USDSGD,eToro
65,GBPCAD,eToro
66,ZARJPY,eToro
68,EURPLN,eToro
69,USDHUF,eToro
70,EURHUF,eToro
71,GBPHUF,eToro
72,CHFHUF,eToro
73,USDPLN,eToro
75,USDDKK_old,eToro
76,EURDKK,eToro
82,USDCZK,eToro
83,USDRON,eToro
84,KRWUSD_old,eToro
85,BRLUSD_old,eToro
86,CLPUSD old,eToro
87,COPUSD old,eToro
88,PENUSD,eToro
89,ARSUSD,eToro
90,QARUSD,eToro
91,PALLADIUM.FUT,eToro
92,SUGAR.FUT,eToro
93,COTTON.FUT,eToro
94,WhiteSugar,eToro
95,OIL.MICRO,CME
96,COCOA.FUT,eToro
97,WHEAT.FUT,eToro
98,CottonNo7,eToro
99,ALUMINUM.FUT,eToro
100,NICKEL.FUT,eToro
101,US2000,eToro
107,USDBRL_old,eToro
110,INRUSD,eToro
111,USDSAR_old,eToro
115,CL.JUL20,CME
117,CL.AUG20,CME
118,CL.SEP20,CME
119,CL.OCT20,CME
120,CL.NOV20,CME
121,CL.DEC20,CME
122,CL.JAN21,CME
123,CL.FEB21,CME
124,CL.MAR21,CME
125,CL.APR21,CME
126,CL.MAY21,CME
127,CL.JUN21,CME
128,CL.JUL21,CME
129,CL.AUG21,CME
130,CL.SEP21,CME
131,CL.OCT21,CME
