Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
XTIA,XTI Aerospace Inc,Long,89.16,4.87,91.52,tomshan1
NSTGQ,NanoString Technologies Inc.,Long,10.84,-20.15,8.48,tomshan1
CLSK,Cleanspark Inc,Long,16.09,-2.4,13.64,jodyslaney
PYPL,PayPal Holdings,Long,9.94,32.19,11.41,jodyslaney
SOFI,SoFi Technologies Inc,Long,6.12,94.52,10.34,jodyslaney
TSLA,"Tesla Motors, Inc.",Long,6.12,108.63,11.09,jodyslaney
TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Long,5.87,-15.06,4.32,jodyslaney
RDFN,Redfin Corp,Long,5.87,-15.48,4.3,jodyslaney
BITF,Bitfarms Ltd,Long,5.01,-9.7,3.93,jodyslaney
ARKG,ARK Genomic Revolution ETF,Long,4.76,-6.3,3.87,jodyslaney
MARA,Marathon Digital Holdings Inc.,Long,4.08,21.03,4.29,jodyslaney
UWMC,UWM Holdings Corporation,Long,3.57,-20.83,2.45,jodyslaney
IREN,Iris Energy Ltd,Long,3.57,58.41,4.91,jodyslaney
SHOP,Shopify Inc.,Long,3.32,58.03,4.55,jodyslaney
MSTR,MicroStrategy Incorporated,Long,3.32,5.97,3.05,jodyslaney
ENVX,Enovix Corporation,Long,3.19,-27.81,2.0,jodyslaney
SOL,Solana,Long,3.14,-3.3,2.63,jodyslaney
U,Unity Software Inc.,Long,3.01,6.04,2.77,jodyslaney
TLT,iShares 20+ Year Treasury Bond ETF,Long,2.67,-3.08,2.25,jodyslaney
ABCL,AbCellera Biologics Inc.,Long,2.55,-4.41,2.12,jodyslaney
LEU,Centrus Energy Corp,Long,2.29,-5.89,1.87,jodyslaney
ENPH,Enphase Energy Inc.,Long,1.79,-21.16,1.22,jodyslaney
CSIQ,Canadian Solar Inc.,Long,1.53,-26.86,0.97,jodyslaney
SOXL,Direxion Daily Semiconductors Bull 3x Shares,Long,1.43,9.44,1.36,jodyslaney
TNA,Direxion Daily Small Cap Bull 3X Shares,Long,0.77,-0.12,0.67,jodyslaney
SOXL,Direxion Daily Semiconductors Bull 3x Shares,Long,53.31,-0.14,59.28,marau2021
INTC,Intel,Long,18.59,-16.88,17.21,marau2021
RDFN,Redfin Corp,Long,9.29,-24.55,7.81,marau2021
AMD,Advanced Micro Devices Inc,Long,9.29,-26.25,2.46,marau2021
SPWRQ,SunPower Corp,Long,2.51,-99.93,0.01,marau2021
OPRA,Opera Limited,Long,2.32,-2.29,2.53,marau2021
CDLX,Cardlytics Inc,Long,27.29,-15.09,21.97,financialfemme
VSAT,Viasat Inc.,Long,12.45,-5.98,11.1,financialfemme
COUR,Coursera Inc.,Long,11.49,18.71,12.94,financialfemme
UPWK,Upwork Inc,Long,10.53,63.8,16.36,financialfemme
OLPX,OLAPLEX HOLDINGS INC,Long,8.04,46.02,11.14,financialfemme
QRTEA,Qurate Retail Group inc,Long,5.74,-39.53,3.29,financialfemme
NVDA,NVIDIA Corporation,Long,11.39,13.92,11.33,gr33ntrader
CNDX.L,iShares NASDAQ 100 UCITS ETF usd,Long,9.88,20.19,10.37,gr33ntrader
AAPL,Apple,Long,8.68,35.98,10.31,gr33ntrader
MSFT,Microsoft,Long,6.88,12.48,6.76,gr33ntrader
META,Meta Platforms Inc,Long,4.35,36.74,5.2,gr33ntrader
AMZN,Amazon.com Inc,Long,3.45,27.3,3.84,gr33ntrader
TSLA,"Tesla Motors, Inc.",Long,3.07,129.45,6.15,gr33ntrader
SEDG,SolarEdge Technologies,Long,3.06,-81.15,0.5,gr33ntrader
NFLX,"Netflix, Inc.",Long,2.25,66.46,3.27,gr33ntrader
GOOG,Alphabet,Long,2.15,27.25,2.39,gr33ntrader
ADBE,Adobe Systems Inc,Long,1.83,-6.29,1.5,gr33ntrader
VOO,Vanguard S&P 500 ETF,Long,1.81,6.22,1.68,gr33ntrader
SONO,Sonos Inc,Long,1.31,-15.2,0.97,gr33ntrader
SPOT,Spotify Technologies SA,Long,1.02,87.1,1.67,gr33ntrader
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,Long,0.81,-0.19,0.7,gr33ntrader
XBI,SPDR S&P Biotech ETF,Long,0.73,-9.88,0.57,gr33ntrader
OTLY,Oatly Group AB,Long,0.64,9.05,0.61,gr33ntrader
TTWO,Take Two Interactive Software Inc,Long,0.56,32.39,0.65,gr33ntrader
BYND,Beyond Meat Inc.,Long,0.4,-46.26,0.19,gr33ntrader
SNAP,Snapchat Inc,Long,0.26,30.65,0.3,gr33ntrader
EA,"Electronic Arts, Inc.",Long,0.21,41.46,0.26,gr33ntrader
BIDU,"Baidu, Inc.-ADR",Long,4.08,-16.67,2.52,JustinC2
META,Meta Platforms Inc,Long,3.81,12.55,3.17,JustinC2
PDD,PDD Holdings Inc-ADR,Long,3.26,-27.52,1.75,JustinC2
Z,Zillow Group Inc,Long,3.26,38.72,3.35,JustinC2
RIVN,Rivian Automotive,Long,3.13,30.79,3.03,JustinC2
UMG.NV,Universal Music Group N.V,Long,3.13,2.92,2.38,JustinC2
ETH,Ethereum,Long,3.12,53.95,3.55,JustinC2
MSFT,Microsoft,Long,2.99,17.4,2.6,JustinC2
NNDM,Nano Dimension Ltd-ADR,Long,2.86,-15.13,1.79,JustinC2
CRWD,Crowdstrike Holdings,Long,2.84,65.04,3.47,JustinC2
COIN,Coinbase Global Inc,Long,2.78,151.44,5.18,JustinC2
9988.HK,Alibaba Group Holding Ltd (Hong Kong),Long,2.61,6.08,2.05,JustinC2
NTLA,Intellia Therapeutics Inc,Long,2.59,-3.5,1.85,JustinC2
SEDG,SolarEdge Technologies,Long,2.04,5.09,1.59,JustinC2
ENPH,Enphase Energy Inc.,Long,1.9,17.71,1.66,JustinC2
RDFN,Redfin Corp,Long,1.9,-8.46,1.29,JustinC2
BTC,Bitcoin,Long,1.89,302.15,5.63,JustinC2
DOCU,DocuSign Inc,Long,1.82,71.05,2.3,JustinC2
ADA,Cardano,Long,1.75,115.76,2.79,JustinC2
9866.HK,NIO Inc Class A,Long,1.65,-43.14,0.69,JustinC2
GOOG,Alphabet,Long,1.63,29.91,1.57,JustinC2
ADBE,Adobe Systems Inc,Long,1.63,-12.45,1.06,JustinC2
STNE,StoneCo Ltd A,Long,1.63,-7.18,1.12,JustinC2
U,Unity Software Inc.,Long,1.5,16.02,1.29,JustinC2
ORSTED.CO,Orsted A/S,Long,1.5,-19.04,0.9,JustinC2
HOOD,Robinhood Markets Inc.,Long,1.49,302.35,4.45,JustinC2
SSYS.US,Stratasys Ltd,Long,1.49,31.87,1.46,JustinC2
SOL,Solana,Long,1.4,38.72,1.44,JustinC2
CSIQ,Canadian Solar Inc.,Long,1.36,-12.32,0.88,JustinC2
SOFI,SoFi Technologies Inc,Long,1.36,88.34,1.9,JustinC2
ARKK,ARK Innovation ETF,Long,1.36,60.81,1.62,JustinC2
PARA,Paramount Global,Long,1.36,-1.22,0.99,JustinC2
NBIS,Nebius Group NV,Long,1.36,45.98,1.47,JustinC2
QQQ,Invesco QQQ,Long,1.36,2.16,1.03,JustinC2
00981.HK,Semiconductor Manufacturing International Corporation,Long,1.33,-9.51,0.89,JustinC2
INTC,Intel,Long,1.09,-8.1,0.74,JustinC2
FCX,Freeport-McMoRan Inc,Long,1.09,-18.53,0.66,JustinC2
SPY,SPDR S&P 500 ETF,Long,1.09,-0.41,0.8,JustinC2
TSLA,"Tesla Motors, Inc.",Long,1.09,102.65,1.63,JustinC2
DOYU,Douyu -ADR,Long,1.04,14.34,0.88,JustinC2
UBS,UBS Group AG,Long,0.97,29.96,0.93,JustinC2
ALGN,Align Technology Inc,Long,0.95,10.49,0.78,JustinC2
XRP,XRP,Long,0.84,317.96,2.59,JustinC2
FVRR,Fiverr International,Long,0.82,22.43,0.74,JustinC2
AI,C3.ai Inc.,Long,0.82,10.15,0.67,JustinC2
BA,Boeing,Long,0.82,7.08,0.65,JustinC2
C,Citigroup,Long,0.82,8.33,0.65,JustinC2
DELL,Dell Technologies Inc C,Long,0.82,-12.46,0.53,JustinC2
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,Long,0.82,-0.3,0.6,JustinC2
SHOP,Shopify Inc.,Long,0.8,96.37,1.17,JustinC2
HBAR,Hedera Hashgraph,Long,0.75,-14.73,0.47,JustinC2
PLTR,Palantir Technologies Inc.,Long,0.69,331.67,2.19,JustinC2
GEV,GE Vernova LLC,Long,0.41,141.0,0.73,JustinC2
MSTR,MicroStrategy Incorporated,Long,0.24,624.03,1.3,JustinC2
SHIBxM,Shiba (in millions),Long,5.88,0.07,5.96,postmanuk
AGNC,AGNC Investment Corp,Long,3.61,-37.41,2.28,postmanuk
ASML,ASML Holding NV - ADR,Long,2.47,-0.31,2.49,postmanuk
ADA,Cardano,Long,2.37,-52.62,1.14,postmanuk
ASML.NV,ASML Holding NV,Long,2.09,-2.7,2.06,postmanuk
INTC,Intel,Long,1.9,-16.6,1.6,postmanuk
PAH3.DE,Porsche Automobil Holding SE,Long,1.71,-20.63,1.37,postmanuk
TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Long,1.71,-29.35,1.22,postmanuk
P911.DE,Porsche AG,Long,1.52,-22.61,1.19,postmanuk
HSY,Hershey Co,Long,1.52,-13.68,1.33,postmanuk
DG.PA,Vinci S.A,Long,1.52,-10.39,1.38,postmanuk
CCI,Crown Castle International,Long,1.33,-26.96,0.98,postmanuk
NVDA,NVIDIA Corporation,Long,1.33,17.46,1.58,postmanuk
MC.PA,LVMH Moet Hennessy Louis Vuitton SA,Long,1.33,-6.36,1.26,postmanuk
ETH,Ethereum,Long,1.33,30.37,1.75,postmanuk
TLT,iShares 20+ Year Treasury Bond ETF,Long,1.33,-15.54,1.13,postmanuk
MSTR,MicroStrategy Incorporated,Long,1.14,40.57,1.62,postmanuk
AKE.PA,Arkema,Long,1.14,-16.25,0.97,postmanuk
ARE,Alexandria Real Estate Equities Inc,Long,1.14,-11.88,1.02,postmanuk
PUK,Prudential plc-ADR,Long,1.14,-6.65,1.08,postmanuk
AMT,American Tower Corp,Long,1.14,-1.93,1.13,postmanuk
SWKS,Skyworks Solutions,Long,1.14,-7.27,1.07,postmanuk
MO,Altria Group Inc,Long,1.14,12.67,1.3,postmanuk
TIP,iShares TIPS Bond ETF,Long,1.14,-3.85,1.11,postmanuk
IEF,iShares 7-10 Year Treasury Bond ETF,Long,1.14,-6.19,1.08,postmanuk
CLN.ZU,Clariant AG,Long,0.95,-22.8,0.74,postmanuk
STAG,STAG Industrial Inc.,Long,0.95,-6.78,0.9,postmanuk
BCS,Barclays PLC-ADR,Long,0.95,8.52,1.04,postmanuk
