Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
HBAR,Hedera Hashgraph,Long,40.89,154.4,55.23,Barti25
LINK,Chainlink,Long,20.13,49.26,15.95,Barti25
XRP,XRP,Long,11.14,128.9,13.54,Barti25
GALA,Gala V2,Long,4.74,-30.34,1.75,Barti25
ARB,Arbitrum,Long,4.7,-23.4,1.91,Barti25
MIOTA,IOTA,Long,2.2,-24.01,0.89,Barti25
FIL,Filecoin,Long,2.12,-4.57,1.08,Barti25
NEAR,Near Protocol,Long,1.96,10.66,1.15,Barti25
OP,Optimism,Long,1.92,17.81,1.2,Barti25
RENDER,Render Token,Long,1.89,33.16,1.34,Barti25
DOT,Polkadot,Long,1.86,39.99,1.38,Barti25
POL,Polygon Ecosystem (ex Matic),Long,1.73,-50.93,0.45,Barti25
AVAX,Avalanche,Long,1.69,64.71,1.48,Barti25
XLM,Stellar,Long,1.59,-13.33,0.73,Barti25
ALGO,Algorand,Long,1.36,163.86,1.91,Barti25
MNODL.L,MMC Norilsk Nickel OJSC-ADR,Long,0.05,-98.72,0.01,Barti25
SOL,Solana,Long,0.02,-10.62,0.01,Barti25
