Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
CELH,Celsius Holdings Inc.,Long,11.14,-37.78,6.31,EpicQuality
NKE,NIKE,Long,11.12,-10.17,9.08,EpicQuality
ULTA,Ulta Beauty Inc,Long,9.06,13.68,9.37,EpicQuality
PYPL,PayPal Holdings,Long,8.1,49.62,11.03,EpicQuality
MNST,Monster Beverage Corp,Long,7.86,7.12,7.66,EpicQuality
FTNT,Fortinet Inc,Long,7.55,48.85,10.22,EpicQuality
MSCI,MSCI Inc,Long,6.88,19.71,7.49,EpicQuality
IDXX,IDEXX Laboratories Inc,Long,6.8,-0.57,6.15,EpicQuality
EVO.ST,Evolution AB,Long,6.62,-15.86,5.06,EpicQuality
NVO,Novo-Nordisk A/S SPONS ADR,Long,6.45,-0.59,5.84,EpicQuality
BKNG,Booking Holdings Inc,Long,6.06,43.54,7.91,EpicQuality
ADBE,Adobe Systems Inc,Long,5.85,-5.81,5.02,EpicQuality
MELI,MercadoLibre,Long,3.61,17.44,3.85,EpicQuality
SHOP,Shopify Inc.,Long,2.86,90.96,4.98,EpicQuality
