Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
ANKR,Ankr,Long,13.36,-2.61,8.93,Fletchbee21
XRP,XRP,Long,11.5,53.4,12.02,Fletchbee21
ADA,Cardano,Long,10.02,140.29,16.51,Fletchbee21
LUNC,Terra Classic,Long,5.3,-73.79,0.95,Fletchbee21
FET,Fetch.ai,Long,4.55,167.21,8.34,Fletchbee21
CHZ,Chiliz,Long,4.16,-68.95,0.89,Fletchbee21
DASH,Dash,Long,3.9,-48.26,1.38,Fletchbee21
BCH,Bitcoin Cash,Long,3.8,176.31,7.19,Fletchbee21
JASMY,Jasmy,Long,3.74,134.89,6.02,Fletchbee21
TLRY,Tilray Brands Inc,Long,3.33,-13.2,1.98,Fletchbee21
REN,REN,Long,2.38,-60.49,0.65,Fletchbee21
ENS,Ethereum Name Service,Long,2.36,237.46,5.47,Fletchbee21
HUT,Hut 8 Mining Corp,Long,2.36,190.35,4.7,Fletchbee21
STORJ,Storj,Long,2.16,-17.69,1.22,Fletchbee21
HBAR,Hedera Hashgraph,Long,2.15,382.65,7.13,Fletchbee21
EOS,EOS,Long,2.11,-72.0,0.4,Fletchbee21
AMP,Amp,Long,1.84,93.58,2.45,Fletchbee21
DOGE,Dogecoin,Long,1.76,-37.96,0.75,Fletchbee21
ETC,Ethereum Classic,Long,1.74,89.16,2.26,Fletchbee21
LRC,Loopring,Long,1.56,-20.74,0.85,Fletchbee21
HNT,Helium,Long,1.52,101.54,2.1,Fletchbee21
BITF,Bitfarms Ltd,Long,1.48,-26.66,0.74,Fletchbee21
1INCH,1inch,Long,1.42,-53.38,0.45,Fletchbee21
GME,GameStop Corp.,Long,1.36,-57.32,0.4,Fletchbee21
XLM,Stellar,Long,1.27,148.63,2.17,Fletchbee21
NAS.OL,Norwegian Air Shuttle,Long,1.27,-38.62,0.53,Fletchbee21
ROSNL.L,Rosneft OAO,Long,1.04,-78.04,0.16,Fletchbee21
TBLT,Toughbuilt Industries Inc,Long,1.02,-99.84,0.01,Fletchbee21
ACB,Aurora Cannabis Inc,Long,0.93,0.0,0.64,Fletchbee21
APE,ApeCoin,Long,0.83,-84.43,0.09,Fletchbee21
COTI,COTI,Long,0.81,12.94,0.63,Fletchbee21
CENN,Cenntro Inc,Long,0.76,-98.88,0.01,Fletchbee21
BTC,Bitcoin,Long,0.59,95.46,0.79,Fletchbee21
SRM,Serum,Long,0.58,-93.22,0.03,Fletchbee21
GHST,Aavegotchi,Long,0.52,17.84,0.42,Fletchbee21
TRX,TRON,Long,0.18,238.78,0.42,Fletchbee21
FLR,Flare,Long,0.1,4.21,0.07,Fletchbee21
SGB,Songbird,Long,0.02,13.24,0.01,Fletchbee21
SBER.MOEX,Sberbank Moscow,Long,0.0,0.0,0.0,Fletchbee21
LUNA2,Terra 2.0,Long,0.0,0.0,0.0,Fletchbee21
