Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
ETH,Ethereum,Long,11.37,4.05,11.94,amerharky
SPX500,SPX500 Index (Non Expiry),Short,2.92,-36.88,1.35,amerharky
YINN,Direxion Daily FTSE China Bull 3X Shares,Long,2.09,42.47,3.01,amerharky
GER40,GER40 Index (Non Expiry),Short,1.26,-5.95,1.19,amerharky
NSDQ100,NASDAQ100 Index (Non Expiry),Short,1.2,-5.96,1.14,amerharky
BA,Boeing,Long,1.12,8.74,1.23,amerharky
ADA,Cardano,Long,1.12,-21.92,0.88,amerharky
ETC,Ethereum Classic,Long,0.6,-55.93,0.27,amerharky
BMY,Bristol-Myers Squibb Co,Long,0.59,-4.34,0.57,amerharky
BP.L,BP,Long,0.52,-5.36,0.49,amerharky
LTC,Litecoin,Long,0.48,-2.78,0.47,amerharky
MCHI,iShares MSCI China ETF,Long,0.41,16.16,0.48,amerharky
BAYN.DE,Bayer AG,Long,0.41,-19.38,0.33,amerharky
MCG.L,Mobico Group PLC,Long,0.4,-18.52,0.33,amerharky
MRNA,Moderna Inc,Long,0.32,-33.66,0.21,amerharky
OXY,Occidental Petroleum Corp,Long,0.31,-7.91,0.28,amerharky
LINK,Chainlink,Long,0.3,-24.78,0.23,amerharky
ASML.NV,ASML Holding NV,Long,0.29,2.19,0.29,amerharky
WBA,Walgreens Boots Alliance Inc,Long,0.19,7.27,0.21,amerharky
9988.HK,Alibaba Group Holding Ltd (Hong Kong),Long,0.19,-49.91,0.09,amerharky
SHIBxM,Shiba (in millions),Long,0.18,20.45,0.22,amerharky
SN.L,Smith & Nephew,Long,0.16,-18.84,0.13,amerharky
ENPH,Enphase Energy Inc.,Long,0.15,-3.72,0.15,amerharky
ICLN,iShares Global clean energy ETF,Long,0.14,-4.35,0.13,amerharky
MIOTA,IOTA,Long,0.12,-55.64,0.05,amerharky
AML.L,Aston Martin Lagonda Global Holdings PLC,Long,0.1,-19.23,0.08,amerharky
SEDG,SolarEdge Technologies,Long,0.09,-17.88,0.08,amerharky
UNI,Uniswap,Long,0.08,-20.36,0.06,amerharky
SBRY.L,J Sainsbury PLC,Long,0.07,-1.1,0.07,amerharky
LCID,Lucid Group Inc,Long,0.06,-4.56,0.06,amerharky
2013.HK,Weimob Inc,Long,0.04,-10.17,0.04,amerharky
