Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
SCHD,Schwab US Dividend Equity ETF,Long,10.04,8.21,8.97,coachnajafali
SG,SweetGreen,Long,8.94,-3.76,7.11,coachnajafali
SPGI,S&P Global Inc,Long,7.3,18.86,7.17,coachnajafali
MSFT,Microsoft,Long,5.95,13.08,5.56,coachnajafali
O,Realty Income Corp,Long,5.87,-0.92,4.8,coachnajafali
GOOG,Alphabet,Long,5.58,37.51,6.34,coachnajafali
MA,Mastercard,Long,5.32,26.37,5.56,coachnajafali
AAPL,Apple,Long,4.65,35.55,5.21,coachnajafali
COST,Costco Wholesale Corp,Long,4.57,23.93,4.68,coachnajafali
CMG,Chipotle Mexican Grill Inc,Long,4.52,30.01,4.85,coachnajafali
VICI,VICI Properties Inc,Long,3.96,1.78,3.33,coachnajafali
V,Visa,Long,3.82,16.57,3.68,coachnajafali
NFLX,"Netflix, Inc.",Long,3.37,85.38,5.16,coachnajafali
PYPL,PayPal Holdings,Long,3.35,48.7,4.11,coachnajafali
QQQ,Invesco QQQ,Long,2.94,34.39,3.26,coachnajafali
ADBE,Adobe Systems Inc,Long,2.77,-4.86,2.18,coachnajafali
CCL,Carnival Corp,Long,2.76,62.73,3.71,coachnajafali
VEU,Vanguard FTSE All-World ex-US,Long,2.75,8.02,2.45,coachnajafali
TXRH,Texas Roadhouse Inc,Long,2.35,62.98,3.16,coachnajafali
META,Meta Platforms Inc,Long,1.47,43.28,1.74,coachnajafali
AMZN,Amazon.com Inc,Long,1.17,62.04,1.57,coachnajafali
