Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
NVDA,NVIDIA Corporation,Long,11.39,13.54,11.31,gr33ntrader
CNDX.L,iShares NASDAQ 100 UCITS ETF usd,Long,9.88,20.19,10.38,gr33ntrader
AAPL,Apple,Long,8.68,36.12,10.33,gr33ntrader
MSFT,Microsoft,Long,6.88,12.46,6.76,gr33ntrader
META,Meta Platforms Inc,Long,4.35,35.46,5.16,gr33ntrader
AMZN,Amazon.com Inc,Long,3.45,27.37,3.84,gr33ntrader
TSLA,"Tesla Motors, Inc.",Long,3.07,129.99,6.17,gr33ntrader
SEDG,SolarEdge Technologies,Long,3.06,-81.27,0.5,gr33ntrader
NFLX,"Netflix, Inc.",Long,2.25,65.93,3.26,gr33ntrader
GOOG,Alphabet,Long,2.15,26.12,2.37,gr33ntrader
ADBE,Adobe Systems Inc,Long,1.83,-6.64,1.5,gr33ntrader
VOO,Vanguard S&P 500 ETF,Long,1.81,6.05,1.68,gr33ntrader
SONO,Sonos Inc,Long,1.31,-15.78,0.96,gr33ntrader
SPOT,Spotify Technologies SA,Long,1.02,86.82,1.67,gr33ntrader
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,Long,0.81,-0.19,0.7,gr33ntrader
XBI,SPDR S&P Biotech ETF,Long,0.73,-9.8,0.57,gr33ntrader
OTLY,Oatly Group AB,Long,0.64,8.35,0.61,gr33ntrader
TTWO,Take Two Interactive Software Inc,Long,0.56,31.47,0.65,gr33ntrader
BYND,Beyond Meat Inc.,Long,0.4,-45.68,0.19,gr33ntrader
SNAP,Snapchat Inc,Long,0.26,29.94,0.3,gr33ntrader
EA,"Electronic Arts, Inc.",Long,0.21,41.31,0.26,gr33ntrader
