Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
9988.HK,Alibaba Group Holding Ltd (Hong Kong),Long,4.03,-25.06,2.36,haxorjimduggen
SXRL.DE,iShares USD Treasury Bond 3-7yr UCITS ETF,Long,3.66,0.47,2.87,haxorjimduggen
TMV.DE,TeamViewer AG,Long,3.66,-29.27,2.02,haxorjimduggen
0700.HK,Tencent,Long,3.3,6.53,2.74,haxorjimduggen
VLY,Valley National Bancorp,Long,3.3,11.22,2.86,haxorjimduggen
IUSU.DE,iShares USD Treasury Bond 1-3yr UCITS ETF,Long,2.93,1.11,2.31,haxorjimduggen
IBCC.DE,iShares Treasury Bond 0-1yr UCITS ETF,Long,2.93,-1.19,2.26,haxorjimduggen
ICLN,iShares Global clean energy ETF,Long,2.56,-36.22,1.28,haxorjimduggen
IB01.L,iShares $ Treasury Bond 0-1yr UCITS ETF,Long,2.56,0.55,2.01,haxorjimduggen
TLH,iShares 10-20 Year Treasury Bond ETF,Long,2.56,-8.38,1.83,haxorjimduggen
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,Long,2.56,-17.92,1.64,haxorjimduggen
IUSC.DE,iShares MSCI EM Latin America UCITS ETF,Long,2.2,-17.09,1.42,haxorjimduggen
IAG.L,International Consolidated Airlines,Long,2.2,91.01,3.27,haxorjimduggen
EZJ.L,easyJet,Long,2.2,9.51,1.88,haxorjimduggen
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Long,2.2,-8.92,1.56,haxorjimduggen
IS3L.DE,iShares Ultrashort Bond UCITS ETF,Long,2.2,-1.54,1.69,haxorjimduggen
IS0R.DE,iShares USD High Yield Corp Bond UCITS ETF,Long,1.83,1.3,1.45,haxorjimduggen
SXR7.DE,iShares Core MSCI EMU UCITS ETF EUR,Long,1.83,-2.46,1.39,haxorjimduggen
IUSM.DE,iShares USD Treasury Bond 7-10yr UCITS ETF,Long,1.83,-3.38,1.38,haxorjimduggen
IEF,iShares 7-10 Year Treasury Bond ETF,Long,1.83,-7.3,1.32,haxorjimduggen
MAERSKB.CO,A P Moller Maersk,Long,1.46,8.97,1.25,haxorjimduggen
TW.L,Taylor Wimpey,Long,1.46,-11.34,1.01,haxorjimduggen
SW,Smurfit Westrock Plc,Long,1.46,23.1,1.41,haxorjimduggen
MONY.L,Moneysupermarket.com Group PLC,Long,1.46,-9.46,1.03,haxorjimduggen
GRG.L,Greggs PLC,Long,1.46,7.0,1.22,haxorjimduggen
SMSN.L,Samsung Electronics Co Ltd - GDR,Long,1.46,-12.2,1.0,haxorjimduggen
GOOGL,Alphabet Inc Class A,Long,1.46,81.01,2.07,haxorjimduggen
0992.HK,Lenovo Group,Long,1.46,32.8,1.52,haxorjimduggen
MTB,M&T Bank Corporation,Long,1.46,48.42,1.7,haxorjimduggen
FDX,FedEx Corporation,Long,1.46,39.91,1.6,haxorjimduggen
RTX,Raytheon-Technologies,Long,1.46,35.4,1.55,haxorjimduggen
AMZN,Amazon.com Inc,Long,1.46,124.56,2.57,haxorjimduggen
IQQH.DE,iShares Global Clean Energy UCITS ETF,Long,1.46,-15.2,0.97,haxorjimduggen
XRP,XRP,Long,1.24,445.45,5.28,haxorjimduggen
