Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
TRX,TRON,Long,24.31,-5.94,18.74,hossa182    
SNX,Synthetix,Long,2.39,-44.23,1.09,hossa182    
BICO,Biconomy,Long,1.19,69.36,1.66,hossa182    
LRC,Loopring,Long,1.19,-39.04,0.6,hossa182    
AVAX,Avalanche,Long,1.19,-14.49,0.84,hossa182    
FTM,Fantom,Long,1.19,31.53,1.29,hossa182    
AMP,Amp,Long,1.19,-14.76,0.83,hossa182    
POL,Polygon Ecosystem (ex Matic),Long,1.19,68.2,1.64,hossa182    
ETH,Ethereum,Long,1.19,51.48,1.48,hossa182    
CTSI,Cartesi,Long,1.19,46.59,1.43,hossa182    
FIL,Filecoin,Long,1.16,28.01,1.22,hossa182    
SKL,Skale Network,Long,0.89,70.74,1.25,hossa182    
CHZ,Chiliz,Long,0.89,56.34,1.15,hossa182    
GALA,Gala V2,Long,0.89,107.08,1.52,hossa182    
GRT,The Graph,Long,0.89,66.75,1.22,hossa182    
SHIBxM,Shiba (in millions),Long,0.89,45.86,1.07,hossa182    
HBAR,Hedera Hashgraph,Long,0.89,390.33,3.59,hossa182    
ANKR,Ankr,Long,0.75,46.54,0.9,hossa182    
ATOM,Cosmos,Long,0.75,0.5,0.61,hossa182    
CRV,Curve,Long,0.75,247.51,2.12,hossa182    
UNI,Uniswap,Long,0.6,98.14,0.97,hossa182    
BAND,Band Protocol,Long,0.6,63.49,0.8,hossa182    
UMA,Universal Market Access,Long,0.6,42.62,0.7,hossa182    
BAL,Balancer,Long,0.6,69.21,0.83,hossa182    
BNT,Bancor,Long,0.6,29.04,0.63,hossa182    
DYDX,dYdX,Long,0.6,96.1,0.96,hossa182    
SUSHI,SushiSwap,Long,0.6,165.46,1.3,hossa182    
BCH,Bitcoin Cash,Long,0.6,42.49,0.7,hossa182    
XTZ,Tezos,Long,0.6,111.55,1.03,hossa182    
QNT,Quant,Long,0.6,110.22,1.03,hossa182    
STORJ,Storj,Long,0.6,14.18,0.56,hossa182    
MANA,Decentraland,Long,0.6,90.44,0.93,hossa182    
APE,ApeCoin,Long,0.6,31.65,0.64,hossa182    
EOS,EOS,Long,0.6,0.05,0.49,hossa182    
KNC,Kyber Network,Long,0.6,42.06,0.69,hossa182    
IMX,Immutable X,Long,0.6,34.13,0.66,hossa182    
YFI,Yearn.finance,Long,0.6,110.85,1.03,hossa182    
ETC,Ethereum Classic,Long,0.6,-5.53,0.46,hossa182    
DOT,Polkadot,Long,0.6,109.7,1.02,hossa182    
API3,API3,Long,0.6,27.03,0.62,hossa182    
CELO,Celo,Long,0.56,9.89,0.5,hossa182    
CRO,Cronos,Long,0.45,91.26,0.7,hossa182    
MIOTA,IOTA,Long,0.45,143.31,0.89,hossa182    
ENS,Ethereum Name Service,Long,0.45,102.59,0.74,hossa182    
1INCH,1inch,Long,0.45,49.77,0.55,hossa182    
ENJ,Enjin,Long,0.45,44.2,0.53,hossa182    
SOL,Solana,Long,0.45,11.86,0.41,hossa182    
BTC,Bitcoin,Long,0.45,9.33,0.4,hossa182    
MKR,Maker,Long,0.3,39.12,0.34,hossa182    
LTC,Litecoin,Long,0.3,66.55,0.41,hossa182    
LPT,Livepeer,Long,0.3,37.46,0.34,hossa182    
ALGO,Algorand,Long,0.3,238.8,0.83,hossa182    
LINK,Chainlink,Long,0.3,138.23,0.58,hossa182    
COMP,Compound,Long,0.3,131.53,0.57,hossa182    
SAND,The Sandbox,Long,0.3,167.47,0.65,hossa182    
FET,Fetch.ai,Long,0.3,30.6,0.32,hossa182    
DOGE,Dogecoin,Long,0.3,151.21,0.61,hossa182    
THETA,Theta,Long,0.3,12.83,0.28,hossa182    
BAT,Basic Attention Token,Long,0.3,45.33,0.35,hossa182    
AXS,Axie Infinity,Long,0.15,47.94,0.18,hossa182    
OGN,Origin Protocol,Long,0.15,47.0,0.18,hossa182    
