Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
MARA,Marathon Digital Holdings Inc.,Long,21.75,-0.06,22.45,incomegeek
DJT,Trump Media & Technology Group,Long,11.7,-11.17,10.74,incomegeek
AMD,Advanced Micro Devices Inc,Long,10.73,-10.52,9.91,incomegeek
SMCI,"Super Micro Computer, Inc",Long,7.58,-16.29,6.56,incomegeek
MPW,Medical Properties Trust Inc,Long,7.25,-19.79,6.0,incomegeek
PBR.A,Petroleo Brasileiro ADR,Long,6.09,-14.27,5.39,incomegeek
TSLA,"Tesla Motors, Inc.",Long,4.78,82.05,8.98,incomegeek
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,Long,4.23,-5.91,4.11,incomegeek
IAPD.L,iShares Asia Pacific Dividend UCITS ETF,Long,4.23,-5.31,4.14,incomegeek
PBR,Petroleo Brasileiro SA Petrobras-ADR,Long,3.89,-15.13,3.41,incomegeek
VWO,Vanguard FTSE Emerging Markets,Long,0.85,-3.96,0.84,incomegeek
