Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
CLSK,Cleanspark Inc,Long,16.09,-1.21,13.74,jodyslaney
PYPL,PayPal Holdings,Long,9.94,32.5,11.39,jodyslaney
SOFI,SoFi Technologies Inc,Long,6.12,94.98,10.32,jodyslaney
TSLA,"Tesla Motors, Inc.",Long,6.12,109.06,11.06,jodyslaney
TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Long,5.87,-15.12,4.3,jodyslaney
RDFN,Redfin Corp,Long,5.87,-14.73,4.32,jodyslaney
BITF,Bitfarms Ltd,Long,5.01,-8.83,3.95,jodyslaney
ARKG,ARK Genomic Revolution ETF,Long,4.76,-6.19,3.86,jodyslaney
MARA,Marathon Digital Holdings Inc.,Long,4.08,22.58,4.32,jodyslaney
UWMC,UWM Holdings Corporation,Long,3.57,-20.83,2.44,jodyslaney
IREN,Iris Energy Ltd,Long,3.57,58.98,4.91,jodyslaney
SHOP,Shopify Inc.,Long,3.32,57.97,4.53,jodyslaney
MSTR,MicroStrategy Incorporated,Long,3.32,5.32,3.02,jodyslaney
ENVX,Enovix Corporation,Long,3.19,-28.07,1.98,jodyslaney
SOL,Solana,Long,3.14,-4.6,2.59,jodyslaney
U,Unity Software Inc.,Long,3.01,8.23,2.82,jodyslaney
TLT,iShares 20+ Year Treasury Bond ETF,Long,2.67,-3.08,2.24,jodyslaney
ABCL,AbCellera Biologics Inc.,Long,2.55,-4.41,2.11,jodyslaney
LEU,Centrus Energy Corp,Long,2.29,-4.81,1.89,jodyslaney
ENPH,Enphase Energy Inc.,Long,1.79,-20.61,1.23,jodyslaney
CSIQ,Canadian Solar Inc.,Long,1.53,-25.59,0.98,jodyslaney
SOXL,Direxion Daily Semiconductors Bull 3x Shares,Long,1.43,8.54,1.34,jodyslaney
TNA,Direxion Daily Small Cap Bull 3X Shares,Long,0.77,-0.52,0.66,jodyslaney
