Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
BTC,Bitcoin,Long,12.61,69.8,18.04,mgds1x07
MSTR,MicroStrategy Incorporated,Long,4.89,128.55,8.45,mgds1x07
COST,Costco Wholesale Corp,Short,3.92,-21.37,1.95,mgds1x07
NVDA,NVIDIA Corporation,Short,3.19,-35.02,0.39,mgds1x07
LKOD.L,Lukoil OAO-ADR,Long,3.15,-99.43,0.02,mgds1x07
EPD,Enterprise Products Partners LP,Long,3.15,9.07,2.9,mgds1x07
CSIQ,Canadian Solar Inc.,Long,2.76,-27.76,1.68,mgds1x07
RRC,Range Resources Corp,Long,2.37,-9.15,1.81,mgds1x07
GDXJ,VanEck Vectors Junior Gold Miners ETF,Long,2.37,3.11,2.05,mgds1x07
SCCO,Southern Copper Corp,Long,1.97,29.2,2.15,mgds1x07
SU,Suncor Energy Inc.,Long,1.58,-2.48,1.3,mgds1x07
VAL.US,Valaris Limited,Long,1.58,-29.04,0.94,mgds1x07
XLE,Energy Select Sector SPDR,Long,1.58,-6.31,1.24,mgds1x07
AMLP,Alerian MLP ETF,Long,1.58,2.28,1.36,mgds1x07
FNV,Franco-Nevada Corp,Long,1.58,-17.47,1.1,mgds1x07
CLSK,Cleanspark Inc,Long,1.58,-4.68,1.27,mgds1x07
OZK,Bank OZK,Long,1.58,8.97,1.45,mgds1x07
ITUB,Itau Unibanco Holding ADR,Long,1.58,-24.23,1.01,mgds1x07
GLD,SPDR Gold,Long,1.58,11.11,1.48,mgds1x07
OIH,VanEck Vectors Oil Services ETF,Long,1.58,-3.95,1.28,mgds1x07
HIVE,Hive Digital Technologies Ltd,Long,1.58,20.95,1.61,mgds1x07
BITF,Bitfarms Ltd,Long,1.18,-4.39,0.95,mgds1x07
MARA,Marathon Digital Holdings Inc.,Long,1.18,52.01,1.51,mgds1x07
UEC,Uranium Energy Corp,Long,1.18,19.38,1.19,mgds1x07
BTBT,Bit Digital Inc,Long,1.18,33.83,1.33,mgds1x07
RIOT,Riot Platforms Inc,Long,1.18,49.46,1.49,mgds1x07
SMLR,Semler Scientific Inc,Long,1.18,59.83,1.59,mgds1x07
WULF,Terawulf Inc,Long,1.18,101.59,2.01,mgds1x07
ETH,Ethereum,Long,1.1,14.63,1.07,mgds1x07
CCJ,Cameco Corp,Long,0.99,99.3,1.65,mgds1x07
SOL,Solana,Long,0.91,-7.53,0.71,mgds1x07
ET,Energy Transfer LP,Long,0.79,24.23,0.83,mgds1x07
EWZ,Brazil Index MSCI Ishares,Long,0.79,-22.58,0.51,mgds1x07
IXC,iShares Global Energy ETF,Long,0.79,-11.53,0.59,mgds1x07
ALB,Albemarle Corporation,Long,0.79,-14.36,0.57,mgds1x07
SBSW,Sibanye Stillwater Ltd-ADR,Long,0.79,-23.83,0.51,mgds1x07
GDX,VanEck Vectors Gold Miners ETF,Long,0.79,13.05,0.75,mgds1x07
CIB,Bancolombia S.A-ADR,Long,0.79,-4.78,0.63,mgds1x07
U3O8.DE,Sprott Uranium Miners UCITS ETF,Long,0.79,-7.63,0.61,mgds1x07
URA,Global X Uranium ETF,Long,0.79,13.39,0.75,mgds1x07
BTI,British American Tobacco PLC ADR,Long,0.79,7.24,0.71,mgds1x07
CI,Cigna Group,Long,0.79,-22.28,0.52,mgds1x07
BMY,Bristol-Myers Squibb Co,Long,0.79,8.23,0.72,mgds1x07
HUT,Hut 8 Mining Corp,Long,0.79,173.44,1.82,mgds1x07
CIFR,Cipher Mining Inc,Long,0.79,77.02,1.18,mgds1x07
IUSC.DE,iShares MSCI EM Latin America UCITS ETF,Long,0.79,-21.93,0.52,mgds1x07
AAPL,Apple,Short,0.79,-12.76,0.58,mgds1x07
COPPER.FUT,Copper (Expiring Future),Long,0.79,-5.95,0.62,mgds1x07
WMT,Walmart Inc.,Short,0.79,-9.74,0.6,mgds1x07
SHIBxM,Shiba (in millions),Long,0.79,4.06,0.69,mgds1x07
IREN,Iris Energy Ltd,Long,0.79,96.8,1.31,mgds1x07
SDIG,Stronghold Digital Mining-A,Long,0.79,72.54,1.15,mgds1x07
TAN,Invesco Solar ETF,Long,0.79,-17.15,0.55,mgds1x07
ENJ,Enjin,Long,0.59,8.7,0.54,mgds1x07
STX,Stacks,Long,0.59,13.33,0.56,mgds1x07
DOGE,Dogecoin,Long,0.59,45.31,0.72,mgds1x07
ATOM,Cosmos,Long,0.55,26.88,0.59,mgds1x07
MANA,Decentraland,Long,0.51,43.65,0.62,mgds1x07
BNB,Build and Build,Long,0.51,3.42,0.45,mgds1x07
COIN,Coinbase Global Inc,Long,0.39,27.5,0.42,mgds1x07
STORJ,Storj,Long,0.39,-13.08,0.29,mgds1x07
LINK,Chainlink,Long,0.39,56.05,0.52,mgds1x07
ONDO,Ondo Finance,Long,0.39,84.3,0.61,mgds1x07
MKR,Maker,Long,0.39,11.08,0.37,mgds1x07
ADA,Cardano,Long,0.39,8.38,0.36,mgds1x07
AAVE,Aave,Long,0.39,102.7,0.67,mgds1x07
COTI,COTI,Long,0.39,9.87,0.36,mgds1x07
AVAX,Avalanche,Long,0.39,9.51,0.36,mgds1x07
TIA,Celestia,Long,0.32,-22.08,0.21,mgds1x07
LDO,Lido DAO,Long,0.24,25.08,0.25,mgds1x07
CTSI,Cartesi,Long,0.24,-1.27,0.2,mgds1x07
ETC,Ethereum Classic,Long,0.24,-1.23,0.2,mgds1x07
KNC,Kyber Network,Long,0.24,-6.18,0.19,mgds1x07
COMP,Compound,Long,0.2,60.08,0.27,mgds1x07
CRV,Curve,Long,0.16,109.0,0.28,mgds1x07
SBER.MOEX,Sberbank Moscow,Long,0.0,0.0,0.0,mgds1x07
