Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
GLD,SPDR Gold,Long,14.17,-2.06,10.14,nicolachirollo
ETH,Ethereum,Long,13.76,33.52,13.41,nicolachirollo
BTC,Bitcoin,Long,7.35,147.01,13.26,nicolachirollo
TQQQ,ProShares UltraPro QQQ,Long,4.92,53.09,5.5,nicolachirollo
UPRO,ProShares UltraPro S&P 500,Long,4.49,31.3,4.3,nicolachirollo
UDOW,ProShares UltraPro Dow30,Long,4.49,18.37,3.88,nicolachirollo
SOL,Solana,Long,2.5,85.04,3.38,nicolachirollo
TRX,TRON,Long,1.96,118.88,3.13,nicolachirollo
ADA,Cardano,Long,1.89,115.48,2.97,nicolachirollo
IWM,Ishares Russell 2000 ETF,Long,1.42,21.63,1.26,nicolachirollo
XRP,XRP,Long,1.42,204.74,3.15,nicolachirollo
META,Meta Platforms Inc,Long,0.98,94.88,1.4,nicolachirollo
AMZN,Amazon.com Inc,Long,0.91,78.11,1.19,nicolachirollo
MU,"Micron Technology, Inc.",Long,0.87,53.1,0.97,nicolachirollo
MA,Mastercard,Long,0.76,54.52,0.85,nicolachirollo
MSFT,Microsoft,Long,0.74,50.54,0.82,nicolachirollo
V,Visa,Long,0.71,52.8,0.79,nicolachirollo
GOOG,Alphabet,Long,0.56,47.88,0.6,nicolachirollo
JAZZ,Jazz Pharmaceuticals,Long,0.5,-12.09,0.32,nicolachirollo
BNB,Build and Build,Long,0.47,43.86,0.5,nicolachirollo
POL,Polygon Ecosystem (ex Matic),Long,0.47,39.92,0.48,nicolachirollo
MCD,McDonald's,Long,0.47,18.05,0.41,nicolachirollo
JNJ,Johnson & Johnson,Long,0.39,-11.39,0.25,nicolachirollo
CRWD,Crowdstrike Holdings,Long,0.38,110.05,0.58,nicolachirollo
AMD,Advanced Micro Devices Inc,Long,0.38,4.1,0.29,nicolachirollo
SPOT,Spotify Technologies SA,Long,0.38,178.14,0.77,nicolachirollo
VGK,Vanguard FTSE Europe ETF,Long,0.37,12.81,0.31,nicolachirollo
MELI,MercadoLibre,Long,0.36,34.69,0.36,nicolachirollo
CCJ,Cameco Corp,Long,0.35,150.49,0.65,nicolachirollo
WMT,Walmart Inc.,Long,0.35,101.31,0.52,nicolachirollo
OCUL,Ocular Therapeutix Inc,Long,0.33,31.49,0.32,nicolachirollo
STNE,StoneCo Ltd A,Long,0.33,-41.17,0.14,nicolachirollo
AAPL,Apple,Long,0.33,54.34,0.37,nicolachirollo
COIN,Coinbase Global Inc,Long,0.28,34.02,0.28,nicolachirollo
CROX,Crocs Inc,Long,0.28,4.35,0.22,nicolachirollo
VTRS,Viatris Inc,Long,0.28,-10.37,0.19,nicolachirollo
PINS,Pinterest Inc,Long,0.28,-22.37,0.16,nicolachirollo
1810.HK,Xiaomi Corp,Long,0.28,33.27,0.28,nicolachirollo
CRM,Salesforce Inc,Long,0.24,52.68,0.26,nicolachirollo
BKNG,Booking Holdings Inc,Long,0.24,130.58,0.4,nicolachirollo
NFLX,"Netflix, Inc.",Long,0.24,136.64,0.41,nicolachirollo
EA,"Electronic Arts, Inc.",Long,0.15,17.28,0.13,nicolachirollo
PDD,PDD Holdings Inc-ADR,Long,0.14,89.33,0.2,nicolachirollo
OGZDL.L,Gazprom OAO-ADR,Long,0.14,-85.27,0.02,nicolachirollo
