Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
SHIBxM,Shiba (in millions),Long,5.88,-1.57,5.88,postmanuk
AGNC,AGNC Investment Corp,Long,3.61,-37.54,2.29,postmanuk
ASML,ASML Holding NV - ADR,Long,2.47,-1.03,2.48,postmanuk
ADA,Cardano,Long,2.37,-53.86,1.11,postmanuk
ASML.NV,ASML Holding NV,Long,2.09,-2.68,2.06,postmanuk
INTC,Intel,Long,1.9,-16.96,1.6,postmanuk
PAH3.DE,Porsche Automobil Holding SE,Long,1.71,-20.59,1.38,postmanuk
TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,Long,1.71,-29.42,1.22,postmanuk
HSY,Hershey Co,Long,1.52,-13.69,1.33,postmanuk
DG.PA,Vinci S.A,Long,1.52,-10.32,1.38,postmanuk
P911.DE,Porsche AG,Long,1.52,-22.6,1.19,postmanuk
NVDA,NVIDIA Corporation,Long,1.33,17.09,1.58,postmanuk
MC.PA,LVMH Moet Hennessy Louis Vuitton SA,Long,1.33,-6.29,1.26,postmanuk
CCI,Crown Castle International,Long,1.33,-27.03,0.98,postmanuk
ETH,Ethereum,Long,1.33,29.58,1.75,postmanuk
TLT,iShares 20+ Year Treasury Bond ETF,Long,1.33,-15.55,1.14,postmanuk
AMT,American Tower Corp,Long,1.14,-2.23,1.13,postmanuk
SWKS,Skyworks Solutions,Long,1.14,-7.57,1.07,postmanuk
MSTR,MicroStrategy Incorporated,Long,1.14,39.93,1.62,postmanuk
AKE.PA,Arkema,Long,1.14,-16.2,0.97,postmanuk
ARE,Alexandria Real Estate Equities Inc,Long,1.14,-12.58,1.01,postmanuk
PUK,Prudential plc-ADR,Long,1.14,-6.87,1.08,postmanuk
MO,Altria Group Inc,Long,1.14,12.62,1.3,postmanuk
TIP,iShares TIPS Bond ETF,Long,1.14,-3.92,1.11,postmanuk
IEF,iShares 7-10 Year Treasury Bond ETF,Long,1.14,-6.2,1.08,postmanuk
CVX,Chevron,Long,0.95,-2.22,0.94,postmanuk
NWL,Newell Brands Inc.,Long,0.95,2.02,0.98,postmanuk
META,Meta Platforms Inc,Long,0.95,17.62,1.13,postmanuk
CLN.ZU,Clariant AG,Long,0.95,-22.8,0.74,postmanuk
STAG,STAG Industrial Inc.,Long,0.95,-7.1,0.89,postmanuk
BCS,Barclays PLC-ADR,Long,0.95,8.34,1.04,postmanuk
KLAC,KLA Corporation,Long,0.95,1.54,0.98,postmanuk
NXPI,NXP Semiconductors,Long,0.95,2.74,0.99,postmanuk
BNP.PA,BNP Paribas SA,Long,0.95,-9.82,0.87,postmanuk
ACN,Accenture PLC,Long,0.95,9.66,1.06,postmanuk
BTC,Bitcoin,Long,0.95,185.9,2.75,postmanuk
O,Realty Income Corp,Long,0.95,-13.26,0.84,postmanuk
NN.NV,NN Group NV,Long,0.95,-10.92,0.86,postmanuk
BND,Vanguard Total Bond Market ETF,Long,0.95,-3.84,0.93,postmanuk
IIPR,Innovative Industrial Properties Inc. A,Long,0.95,-4.37,0.92,postmanuk
AMPX,Amprius Technologies Inc,Long,0.94,-14.39,0.82,postmanuk
MSFT,Microsoft,Long,0.76,8.65,0.84,postmanuk
WSR,Whitestone REIT,Long,0.76,10.28,0.85,postmanuk
SRPT,Sarepta Therapeutics Inc,Long,0.76,3.4,0.8,postmanuk
ASRNL.NV,ASR Nederland NV,Long,0.76,-3.55,0.74,postmanuk
WPC,WP Carey Inc,Long,0.76,-12.7,0.67,postmanuk
WCH.DE,Wacker Chemie AG,Long,0.76,-23.3,0.59,postmanuk
SIE.DE,Siemens Aktiengesellschaft,Long,0.76,1.73,0.78,postmanuk
APAM,Artisan Partners Asset Management Inc.,Long,0.76,2.92,0.79,postmanuk
CRI,Carter's,Long,0.76,1.88,0.78,postmanuk
PBR,Petroleo Brasileiro SA Petrobras-ADR,Long,0.76,-7.68,0.71,postmanuk
BLK,BlackRock Inc,Long,0.76,16.35,0.9,postmanuk
AZM.MI,Azimut Holding,Long,0.76,2.75,0.79,postmanuk
GE,General Electric Co,Long,0.76,-7.7,0.71,postmanuk
DB,Deutsche-Bank,Long,0.76,10.43,0.85,postmanuk
BLV,Vanguard Long-Term Bond ETF,Long,0.76,-7.55,0.71,postmanuk
AGG,iShares Core U.S. Aggregate Bond ETF,Long,0.76,-4.55,0.73,postmanuk
BOND,PIMCO Active Bond Exchange-Traded Fund,Long,0.76,-3.63,0.74,postmanuk
IBKR,Interactive Brokers Group,Long,0.57,39.23,0.8,postmanuk
RIOT,Riot Platforms Inc,Long,0.57,4.9,0.61,postmanuk
SHOP,Shopify Inc.,Long,0.57,1.47,0.59,postmanuk
DB1.DE,Deutsche Boerse AG,Long,0.57,2.87,0.59,postmanuk
EWBC,East West Bancorp Inc.,Long,0.57,-0.67,0.57,postmanuk
DWS.DE,DWS Group GmbH & Co KGaA,Long,0.57,4.9,0.61,postmanuk
QDVP.DE,iShares US Mortgage Backed Securities UCITS ETF,Long,0.57,-3.77,0.56,postmanuk
TXN,Texas Instruments Inc,Long,0.57,7.8,0.62,postmanuk
GSK,GlaxoSmithKline plc ADR,Long,0.57,-9.87,0.52,postmanuk
IBM,International Business Machines Corporation (IBM),Long,0.57,30.33,0.75,postmanuk
LAC,Lithium Americas Corp,Long,0.57,-19.83,0.46,postmanuk
MAA,Mid-America Apartment Communities Inc.,Long,0.57,10.33,0.64,postmanuk
NDA_SE.ST,Nordea Bank AB,Long,0.57,-2.73,0.56,postmanuk
HIVE,Hive Digital Technologies Ltd,Long,0.57,-13.23,0.5,postmanuk
ARR,ARMOUR Residential REIT Inc,Long,0.57,-11.7,0.51,postmanuk
KMB,Kimberly-Clark Corp,Long,0.57,4.5,0.6,postmanuk
PEP,PepsiCo,Long,0.57,-7.67,0.53,postmanuk
EPR,EPR Properties,Long,0.57,5.97,0.61,postmanuk
LRCX,Lam Research Corp,Long,0.57,-16.73,0.48,postmanuk
ONL,Orion Office Reit Inc.,Long,0.57,-23.1,0.44,postmanuk
IUSB,iShares Core Total USD Bond Market ETF,Long,0.57,-2.27,0.56,postmanuk
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,Long,0.57,-1.87,0.57,postmanuk
SHY,iShares 1-3 Year Treasury Bond ETF,Long,0.57,-1.1,0.57,postmanuk
AMGN,Amgen Inc,Long,0.57,-16.64,0.48,postmanuk
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Long,0.57,-3.84,0.56,postmanuk
IBTF,iShares iBonds Dec 2025 Term Treasury ETF,Long,0.57,-0.4,0.58,postmanuk
LTRX,Lantronix Inc,Long,0.57,26.78,0.73,postmanuk
GLBS,Globus Maritime Ltd,Long,0.56,-26.08,0.42,postmanuk
PRCH,Porch Group Inc.,Long,0.38,13.9,0.44,postmanuk
DELL,Dell Technologies Inc C,Long,0.38,-13.75,0.33,postmanuk
FRT,Federal Realty Investment Trust,Long,0.38,19.15,0.46,postmanuk
ZS,Zscaler Inc,Long,0.38,2.7,0.4,postmanuk
OKE,ONEOK Inc,Long,0.38,6.55,0.41,postmanuk
TROW,T Rowe Price Group Inc,Long,0.38,3.25,0.4,postmanuk
BITF,Bitfarms Ltd,Long,0.38,-6.55,0.36,postmanuk
SNA2.DE,iShares Treasury Bond UCITS ETF,Long,0.38,-2.6,0.38,postmanuk
BBAI,Bigbear.Ai Holdings Inc,Long,0.38,-10.8,0.34,postmanuk
ALLY,Ally Financial Inc,Long,0.38,-0.5,0.38,postmanuk
F,Ford Motor Co,Long,0.38,-8.15,0.35,postmanuk
SMCI,"Super Micro Computer, Inc",Long,0.38,-17.95,0.32,postmanuk
LTC.US,LTC Properties Inc.,Long,0.38,-9.7,0.35,postmanuk
GD,General Dynamics Corp,Long,0.38,8.85,0.42,postmanuk
PG,Procter & Gamble Co,Long,0.38,2.1,0.39,postmanuk
UPS,United Parcel Service Inc,Long,0.38,1.55,0.39,postmanuk
GLPI,Gaming and Leisure,Long,0.38,0.25,0.39,postmanuk
PRU,Prudential Financial Inc,Long,0.38,-2.95,0.37,postmanuk
EPD,Enterprise Products Partners LP,Long,0.38,6.51,0.41,postmanuk
DLR,Digital Realty Trust Inc,Long,0.19,83.6,0.35,postmanuk
JPM,JPMorgan Chase & Co,Long,0.19,75.6,0.34,postmanuk
CTAS,Cintas Corp,Long,0.19,22.3,0.24,postmanuk
COST,Costco Wholesale Corp,Long,0.19,101.1,0.39,postmanuk
SPG,Simon Property Group Inc,Long,0.19,81.3,0.35,postmanuk
GWW,WW Grainger Inc,Long,0.19,73.3,0.33,postmanuk
MAIN,Main Street Capital Corp.,Long,0.19,66.5,0.32,postmanuk
WOOF,Petco Health & Wellness Company Inc,Long,0.19,-25.8,0.14,postmanuk
HD,Home Depot Inc,Long,0.19,40.8,0.27,postmanuk
ETR,Entergy Corp,Long,0.19,54.2,0.3,postmanuk
PKG,Packaging Corp of America,Long,0.19,84.9,0.36,postmanuk
KO,Coca-Cola,Long,0.19,-6.4,0.18,postmanuk
ABBV,AbbVie Inc,Long,0.19,-4.7,0.18,postmanuk
PSA,Public Storage,Long,0.19,25.4,0.24,postmanuk
USB,US Bancorp,Long,0.19,5.7,0.2,postmanuk
PNC,PNC Financial Services Group Inc,Long,0.19,75.5,0.34,postmanuk
GS,Goldman Sachs Group Inc,Long,0.19,90.4,0.37,postmanuk
NWN,Northwest Natural Holding Company,Long,0.19,-1.1,0.19,postmanuk
