Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
IB01.L,iShares $ Treasury Bond 0-1yr UCITS ETF,Long,91.03,0.37,91.2,ukjoehk
OSK,Oshkosh Corp,Long,1.86,-4.83,1.77,ukjoehk
HCI,Hci Group Inc,Long,1.5,19.6,1.79,ukjoehk
SACH,Sachem Capital Corp,Long,1.08,-52.05,0.52,ukjoehk
HY,Hyster-Yale Materials Handling Inc,Long,0.96,-12.15,0.84,ukjoehk
ACTG,Acacia Research Corporation,Long,0.94,-2.81,0.91,ukjoehk
HDSN,Hudson Technologies Inc,Long,0.94,-28.33,0.67,ukjoehk
LKQ,LKQ Corp,Long,0.38,-8.1,0.35,ukjoehk
REVG,REV Group Inc,Long,0.37,31.23,0.49,ukjoehk
MARA,Marathon Digital Holdings Inc.,Long,0.19,66.66,0.31,ukjoehk
RCL,Royal Caribbean Cruises Ltd,Long,0.19,80.26,0.34,ukjoehk
SYF,Synchrony Financial,Long,0.19,62.69,0.31,ukjoehk
GM,General Motors Co,Long,0.19,32.97,0.25,ukjoehk
JBL,Jabil Inc,Long,0.19,37.98,0.26,ukjoehk
