Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
NVDA,NVIDIA Corporation,Long,12.1,23.07,14.14,valueresort
LLY,Eli Lilly & Co,Long,12.08,-9.92,10.34,valueresort
AAPL,Apple,Long,11.97,16.26,13.22,valueresort
TMUS,T-Mobile US Inc,Long,11.87,17.75,13.27,valueresort
UNH,UnitedHealth,Long,11.87,-14.58,9.62,valueresort
MCD,McDonald's,Long,11.77,5.23,11.76,valueresort
PG,Procter & Gamble Co,Long,11.08,-0.65,10.46,valueresort
NEE,NextEra Energy Inc,Long,6.0,-8.51,5.22,valueresort
SO,Southern Co,Long,5.94,-6.94,5.25,valueresort
TSLA,"Tesla Motors, Inc.",Long,1.02,119.13,2.12,valueresort
NKE,NIKE,Long,1.02,-1.67,0.95,valueresort
DIS,Walt Disney,Long,1.02,24.95,1.21,valueresort
LULU,Lululemon Athletica Inc,Long,0.51,63.18,0.79,valueresort
