Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
TSLA,"Tesla Motors, Inc.",Long,54.87,23.05,64.29,yuankai00
U,Unity Software Inc.,Long,9.47,-17.88,7.41,yuankai00
NNOX,Nano-X Imaging Ltd.,Long,3.99,-7.66,3.51,yuankai00
ASAN,Asana,Long,3.99,24.39,4.73,yuankai00
RXRX,Recursion Pharmaceuticals Inc,Long,3.99,-7.93,3.5,yuankai00
AI,C3.ai Inc.,Long,3.99,7.29,4.08,yuankai00
CXAI,CXApp Inc,Long,3.99,-6.19,3.56,yuankai00
SPWRQ,SunPower Corp,Long,3.58,-99.93,0.01,yuankai00
FSLY,Fastly Inc,Long,3.15,-52.77,1.42,yuankai00
RBRK,Rubrik Inc,Long,2.49,6.72,2.53,yuankai00
PLUG,Plug Power Inc,Long,2.25,-16.03,1.8,yuankai00
SOUN,Soundhound Ai Inc-A,Long,1.53,34.5,1.97,yuankai00
SNOW,Snowflake Inc.,Long,1.5,-25.73,1.06,yuankai00
SAVEQ,Spirit Airlines,Long,0.72,-89.74,0.07,yuankai00
SPCE,Virgin Galactic Holdings Inc,Long,0.5,-82.62,0.08,yuankai00
